Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,158.75,-88.9,0.0,top
C2,22u,C_0603_1608Metric,150.355,-64.77,180.0,top
C3,10u,C_0603_1608Metric,114.185,-82.55,180.0,top
C4,22u,C_0603_1608Metric,113.03,-66.04,0.0,top
C5,10u,C_0603_1608Metric,129.045,-77.47,0.0,top
C6,22u,C_0603_1608Metric,139.205,-78.74,0.0,top
D1,TSAL6200,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,170.18,-63.5,90.0,top
D2,TSAL6200,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,170.18,-76.2,90.0,top
D3,TSAL6200,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,128.27,-66.04,180.0,top
D4,TSAL6200,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,143.51,-66.039999,180.0,top
D5,TSAL6200,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,100.33,-76.374199,-90.0,top
D6,TSAL6200,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,100.33,-63.669199,-90.0,top
Q1,MMBT3904,SOT-23,147.32,-82.55,0.0,top
Q2,SFH309,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_Clear,171.45,-69.849999,90.0,top
Q3,MMBT3904,SOT-23,165.1,-88.9,-90.0,top
Q4,MMBT3904,SOT-23,107.95,-90.17,90.0,top
Q5,SFH309,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_Clear,99.06,-69.849999,-90.0,top
Q6,SFH309,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_Clear,135.910001,-64.485,180.0,top
R1,47,R_0603_1608Metric,161.735,-73.66,0.0,top
R2,820,R_0603_1608Metric,172.275,-88.9,0.0,top
R3,680,R_0603_1608Metric,172.275,-82.55,0.0,top
R4,8.2k,R_0603_1608Metric,155.385,-64.77,0.0,top
R5,47,R_0603_1608Metric,124.46,-74.93,180.0,top
R6,680,R_0603_1608Metric,142.24,-86.36,0.0,top
R7,820,R_0603_1608Metric,138.43,-81.28,0.0,top
R8,47,R_0603_1608Metric,159.575,-60.96,0.0,top
R9,47,R_0603_1608Metric,142.685,-73.66,0.0,top
R10,47,R_0603_1608Metric,110.935,-76.2,180.0,top
R11,680,R_0603_1608Metric,97.725,-82.55,0.0,top
R12,820,R_0603_1608Metric,99.885,-87.9625,180.0,top
R13,47,R_0603_1608Metric,110.49,-60.96,180.0,top
R14,8.2k,R_0603_1608Metric,118.935,-63.5,180.0,top
R15,8.2k,R_0603_1608Metric,143.955,-77.47,0.0,top
