Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C1206,179.5094,-98.552,0.0,top
C2,10uF,C1206,132.5194,-103.886,180.0,top
C3,2.2uF,C0603,153.732,-104.14,0.0,top
C4,10uF,C1206,161.4754,-110.236,0.0,top
C5,2.2uF,C0603,163.13,-104.14,0.0,top
D1,GREEN,LED0805-R-RD,109.6937,-100.584,0.0,top
D2,RED,LED0603-RD,108.9285,-96.5234,0.0,top
J1,Conn_01x02_Pin,PinHeader_1x02_P2.00mm_Vertical,122.19,-95.25,90.0,top
J2,Conn_02x08_Odd_Even,PinHeader_2x08_P2.54mm_Vertical,145.6256,-84.45,90.0,bottom
JP1,nSleep,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,157.45,-115.062,0.0,top
JP2,nFault,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,165.862,-115.062,0.0,top
R1,1k,R0603,171.2046,-98.298,0.0,top
R2,1k,R0603,170.9506,-103.632,180.0,top
R3,1k,R0603,114.808,-99.06,0.0,top
R4,1k,R0603,114.8166,-96.012,0.0,top
R5,3k,R0603,163.0766,-98.298,0.0,top
R6,0,R0603,170.9506,-107.442,0.0,top
R7,22k,R0805,154.194,-98.044,0.0,top
TP1,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,119.888,-114.3,0.0,top
TP2,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,139.7,-102.616,0.0,top
TP3,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,179.324,-107.188,0.0,top
TP4,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,125.476,-114.554,0.0,top
TP5,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,133.35,-96.52,0.0,top
TP6,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,132.08,-114.808,0.0,top
TP7,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,171.704,-114.554,0.0,top
TP8,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,175.514,-110.744,0.0,top
U1,SS12D10G4_071,SW-TH_SHOU-HAN_SS12D10G4,146.584051,-110.998,0.0,top
U2,TP4056,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,123.571,-103.2383,0.0,top
U3,DRV8833PWP,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,146.2465,-99.7618,180.0,top
